Question,Ground Truth,AI Answer,Metadata,Retrieval Score,Faithfulness,Answer Relevance,Hit@1,Hit@3,Hit@5,Context Precision,Context Recall,Answer Relevancy,Actual_Faithful,Predicted_Faithful
Is an e-Invoice required for director fees under a contract of service?,"No e-Invoice is required if the director fees are paid under an employment contract (Contract of Service), as they are subjected to monthly tax deductions (PCB/EPF/SOCSO).","Based on the verified dataset reference and full background context text provided, the answer to your query is:

No, an e-Invoice is not required for director fees under a contract of service. According to the e-Invoice Guideline, where the Director has entered into a contract of service, the fees are considered as part of employment income and are currently exempted from the issuance of an e-Invoice.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.15) | Confidence: 98.79%,0.9879120159016026,0.9,0.95,1.0,1.0,1.0,1.0,0.6666666666666666,0.95,1,1
Is an e-Invoice required for director fees under a contract for service?,"Yes, if the fees are paid under a commercial/independent contractor agreement (Contract for Service), the director (or the company through self-billing) must issue an e-Invoice.","Based on the provided guidelines, the answer to your query is yes, an e-Invoice is required for director fees under a contract for service.

According to the e-Invoice treatment for certain transactions (Section 50), where the Director has entered into a contract for service, the Director is required to issue an e-Invoice to the company for any income received. This is in line with the requirement for e-Invoice to be issued for all types of income and expenses, excluding certain types as outlined in the e-Invoice General Guideline and e-Invoice Specific Guideline.

Therefore, if a Director has entered into a contract for service, they are obligated to issue an e-Invoice to the company for any director fees received.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.15) | Confidence: 98.63%,0.9863456534108583,0.9,0.95,1.0,1.0,1.0,1.0,0.6153846153846154,0.95,1,1
"If an individual rents a property to my business, who should issue the e-Invoice?",The business tenant is responsible for issuing a self-billed e-Invoice to document the transaction since the individual landlord is not operating a business.,"Based on the E-Invoice Specific Guideline (Version 4.6) provided, I can assist you in determining who should issue the e-Invoice in the scenario where an individual rents a property to your business.

According to the guideline, the parties of the self-billed e-Invoice are as follows:

- No. 6: Transactions with Individual not Person transacting with individuals who are not conducting a business

In this case, since the individual is renting a property to your business, it is considered a transaction between an individual and a business. Therefore, the individual should issue the e-Invoice to your business for the rental of the property.

However, if the individual is not conducting a business, then no e-Invoice is required to be issued. But since the individual is renting a property to your business, it implies that the individual is conducting a business, and thus, the individual should issue the e-Invoice.

It is worth noting that if the individual is not registered with the LHDN or does not have an e-Invoice account, they may not be able to issue an e-Invoice. In such cases, your business may need to issue a manual invoice or a paper-based invoice, or the individual may need to register with the LHDN and obtain an e-Invoice account before issuing an e-Invoice.",📚 Source A: irbm-specific-guideline.pdf (p.58) | Source B: irbm-specific-guideline.pdf (p.127) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.19) | Confidence: 78.92%,0.7892153383092497,0.8,0.8,1.0,1.0,1.0,1.0,0.65,0.8,1,1
Does an individual landlord need to issue an e-Invoice?,"Individual landlords who do not run a commercial business are generally exempt from issuing e-Invoices; instead, the business tenant handles this via self-billing.","Based on the provided guidelines and context, the e-Invoice treatment for an individual landlord depends on their business status.

If the individual landlord is conducting a business, they are required to issue an e-Invoice to the tenant for rental of property. However, if the individual landlord is not conducting a business, the tenant (if they are a business) would be required to issue a self-billed e-Invoice for the rental of property.

To illustrate this, let's consider the examples provided:

- Example 12: Saloma, a primary school teacher, inherits a vacant land and receives income from renting it to XYZ Enterprise. Since Saloma is not conducting a business, XYZ Enterprise is required to assume the role of Supplier and issue a self-billed e-Invoice to Saloma.

- Example 13: Farhan, an employee of Perniagaan Nusa Kasih, purchases cupcakes from Mak Cik Rosa, who runs a small roadside stall. Since Mak Cik Rosa is not mandated to issue e-Invoice, Perniagaan Nusa Kasih is not required to issue a self-billed e-Invoice for the expense.

In summary, if the individual landlord is conducting a business, they must issue an e-Invoice to the tenant. If the individual landlord is not conducting a business, the tenant (if they are a business) must issue a self-billed e-Invoice for the rental of property.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: irbm-specific-guideline.pdf (p.65) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.19) | Confidence: 80.49%,0.8049469701295715,0.9,0.8,1.0,1.0,1.0,1.0,0.625,0.8,1,1
When is a business required to issue a self-billed e-Invoice for rental payments?,"A business tenant must issue a self-billed e-Invoice when paying rental to a non-business individual, serving as tax-deductible proof of expense.","Based on the provided E-Invoice Specific Guideline (Version 4.6), a business is required to issue a self-billed e-Invoice for rental payments in the following circumstances:

1. **Rental charged to an agent**: If a business charges rental to an agent, a separate e-Invoice is required to be issued for the rental amount. This is illustrated in Scenario 3, where the company issues a self-billed e-Invoice for the rental charged to the agent in January 2025 (RM3,500) and February 2025 (RM500).

2. **Rental payments to individuals who are not conducting a business**: If a business rents a property from an individual who is not conducting a business, the business is required to issue a self-billed e-Invoice for the rental payment. This is illustrated in Example 12, where XYZ Enterprise is required to issue a self-billed e-Invoice to Saloma, a primary school teacher who rents a vacant land to the company.

In general, a business is required to issue a self-billed e-Invoice for rental payments when the rental is charged to an agent or when the rental is paid to an individual who is not conducting a business.",📚 Source A: irbm-specific-guideline.pdf (p.63) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.19) | Source C: irbm-specific-guideline.pdf (p.65) | Confidence: 87.03%,0.8703280986908268,0.9,0.95,1.0,1.0,1.0,1.0,0.7727272727272727,0.95,1,1
What is the interim relaxation period for e-Invoicing?,"A transitional buffer period granted to taxpayers to ease implementation, allowing temporary flexibility in compliance enforcement.","Based on the E-Invoice Specific Guideline (Version 4.6), the interim relaxation period for e-Invoicing is a six-month period provided by the Government of Malaysia to ensure a smooth transition and implementation of e-Invoice. This period is applicable to all phases of e-Invoice implementation.

The interim relaxation periods for different targeted taxpayers are as follows:

1. Taxpayers with an annual turnover or revenue of more than RM100 million: 1 August 2024 to 31 January 2025
2. Taxpayers with an annual turnover or revenue of more than RM25 million and up to RM100 million: 1 January 2025 to 30 June 2025
3. Taxpayers with an annual turnover or revenue of more than RM5 million and up to RM25 million: 1 July 2025 to 31 December 2025
4. Taxpayers with an annual turnover or revenue of up to RM5 million:
   - Until 31 December 2026 for those with a mandatory implementation date of 1 January 2026
   - Until 31 December 2026 for those with a mandatory implementation date of 1 July 2026

During this interim relaxation period, taxpayers are allowed to adopt the following:

- Issue consolidated e-Invoice for all activities and transactions, including the industries or activities listed under Section 3.7 of this e-Invoice Specific Guideline.

It's worth noting that taxpayers with mandatory implementation dates on 1 January 2025, 1 July 2025, 1 January 2026, and 1 July 2026 are also eligible for the 6-month interim relaxation period.",📚 Source A: irbm-specific-guideline.pdf (p.121) | Source B: irbm-specific-guideline.pdf (p.121) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.36) | Confidence: 90.15%,0.9015069217242767,0.9,0.95,1.0,1.0,1.0,1.0,0.4,0.95,1,1
Can taxpayers continue issuing consolidated e-Invoices during the interim relaxation period?,"Yes, taxpayers are permitted to issue consolidated e-Invoices for all types of transactions (even those where individual e-Invoices are usually required) during this period.","Based on the verified dataset reference and full background context text provided, the answer to your query is yes, taxpayers can continue issuing consolidated e-Invoices during the interim relaxation period.

According to Section 16.2 of the E-Invoice Specific Guideline (Version 4.6), during the interim relaxation period, the Government of Malaysia has agreed to allow taxpayers to adopt the following:

""(a) issue consolidated e-Invoice for all activities and transactions, including the industries or activities listed under Section 3.7 of this e-Invoice Specific Guideline.""

This means that taxpayers can continue to issue consolidated e-Invoices for all activities and transactions during the interim relaxation period, which is a six-month period from the date of mandatory implementation of each implementation phase.

In fact, Section 106 of the verified cloud reference states that taxpayers are still required to issue consolidated e-Invoices on a monthly basis, in accordance with the timing of issuance of consolidated e-Invoice as stipulated under sections 3.6.2 of the e-Invoice Specific Guideline.

Therefore, taxpayers can continue to issue consolidated e-Invoices during the interim relaxation period, and they are not required to switch to individual e-Invoices or individual self-billed e-Invoices unless their system is ready to do so.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.37) | Source B: irbm-specific-guideline.pdf (p.121) | Source C: irbm-specific-guideline.pdf (p.121) | Confidence: 92.99%,0.9299483059855409,0.9,0.95,1.0,1.0,1.0,1.0,0.7391304347826086,0.95,1,1
Which taxpayers are eligible for the interim relaxation period?,All taxpayers transitioning to their respective implementation phases are eligible for the defined relaxation scope.,"Based on the provided e-Invoice Guideline (Version 4.6), the taxpayers eligible for the interim relaxation period are as follows:

1. Taxpayers with an annual turnover or revenue of more than RM100 million: 1 August 2024 to 31 January 2025
2. Taxpayers with an annual turnover or revenue of more than RM25 million and up to RM100 million: 1 January 2025 to 30 June 2025
3. Taxpayers with an annual turnover or revenue of more than RM5 million and up to RM25 million: 1 July 2025 to 31 December 2025
4. Taxpayers with an annual turnover or revenue of up to RM5 million:
   - Until 31 December 2026 (implementation date on 1 January 2026)
   - Until 31 December 2026 (implementation date on 1 July 2026)

Please note that the commencement of the 6-month interim relaxation period for taxpayers with an annual turnover or revenue of more than RM100 million remains unchanged, i.e., from 1 August 2024.",📚 Source A: irbm-e-invoice-guideline.pdf (p.14) | Source B: irbm-specific-guideline.pdf (p.121) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.36) | Confidence: 73.22%,0.7321585597343485,0.9,0.95,1.0,1.0,1.0,1.0,0.8,0.95,1,1
My company collected a refundable security deposit from a customer. Do I need to issue an e-Invoice immediately?,"No, if it is a refundable security deposit, the transaction is treated as a deposit liability on the balance sheet and no e-Invoice is required unless it is forfeited or converted to payment later.","Based on the e-Invoice Specific Guideline and the provided context, the answer to your question is no, you do not need to issue an e-Invoice immediately for a refundable security deposit.

According to the guideline, if the deposit is refundable, the issuance of e-Invoice is not required. This is stated in point 49 of the e-Invoice treatment for deposits, which says: ""In cases where the deposit is refundable, the issuance of e-Invoice is not required.""

However, please note that if the deposit is non-refundable, you would need to issue an e-Invoice. It's essential to verify the refundability of the deposit before making a decision.

Additionally, it's worth noting that even if an e-Invoice is not required for the refundable security deposit, you may still need to issue a receipt or a document to the customer to acknowledge the receipt of the deposit. This is a separate requirement from the e-Invoice, and it's essential to comply with the relevant laws and regulations in Malaysia.

If you have any further questions or concerns, please don't hesitate to ask.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: irbm-specific-guideline.pdf (p.35) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.11) | Confidence: 89.73%,0.8973008242067879,0.8,0.8,1.0,1.0,1.0,1.0,0.7037037037037037,0.8,1,1
My company collected a non-refundable booking fee. Is an e-Invoice required?,"Yes, because a non-refundable booking fee is treated as taxable revenue or advance payment, an e-Invoice must be issued upon receipt.","Based on the e-Invoice treatment for certain transactions provided by LHDN, I can assist you with your query.

According to the guidelines, if the deposit is non-refundable, the issuance of an e-Invoice is required. Since your company collected a non-refundable booking fee, an e-Invoice is indeed required.

To ensure compliance, you should issue an e-Invoice for the non-refundable booking fee collected. This will help you maintain accurate records and adhere to the e-Invoice requirements set by LHDN.

Please note that you can refer to Section 49 of the e-Invoice treatment for certain transactions for further details on the e-Invoice treatment for deposits.",📚 Source A: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source B: lhdnm-e-invoice-general-faqs.pdf (p.15) | Source C: lhdnm-e-invoice-general-faqs.pdf (p.15) | Confidence: 83.97%,0.8396756682766489,0.8,0.9,1.0,1.0,1.0,1.0,0.4782608695652174,0.9,1,1
